estrategia,R
DIDI_pivo_TRIX,6.0093
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.815
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.4054
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,2.7787
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-0.6048
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,2.9266
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.5149
DIDI_pivo_TRIX,2.1479
DIDI_pivo_TRIX,1.6088
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6882
DIDI_pivo_TRIX,1.4198
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.9865
DIDI_pivo_TRIX,2.3819
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,5.5051
DIDI_pivo_TRIX,0.1107
DIDI_pivo_ADX,1.7899
DIDI_pivo_ADX,0.4697
DIDI_pivo_ADX,-0.5
DIDI_pivo_ADX,-0.3357
DIDI_pivo_ADX,-0.5345
DIDI_pivo_ADX,-0.2661
DIDI_pivo_ADX,-0.2708
DIDI_pivo_ADX,-0.1667
DIDI_pivo_ADX,-0.2143
DIDI_pivo_ADX,-0.6933
DIDI_pivo_ADX,0.6566
DIDI_pivo_ADX,-0.1622
DIDI_pivo_ADX,-0.4667
DIDI_pivo_ADX,0.045
DIDI_pivo_ADX,-0.0556
DIDI_pivo_ADX,-0.0055
DIDI_pivo_ADX,-0.3966
DIDI_pivo_ADX,-0.1828
DIDI_pivo_ADX,-0.2041
DIDI_pivo_ADX,-0.1418
DIDI_pivo_ADX,-0.2238
DIDI_pivo_ADX,-0.3982
DIDI_pivo_ADX,-0.5333
DIDI_pivo_ADX,0.5141
DIDI_pivo_ADX,0.7432
DIDI_pivo_ADX,-0.2691
DIDI_pivo_ADX,0.0473
DIDI_pivo_ADX,0.5386
DIDI_pivo_ADX,0.7376
DIDI_pivo_ADX,-0.0675
DIDI_pivo_ADX,0.2143
DIDI_pivo_ADX,-0.5521
DIDI_pivo_ADX,5.2673
DIDI_pivo_ADX,-0.3527
DIDI_pivo_ADX,0.1679
DIDI_pivo_ADX,-0.651
DIDI_pivo_ADX,-0.0594
DIDI_pivo_ADX,0.0665
DIDI_pivo_ADX,-0.5899
DIDI_pivo_ADX,-0.3353
DIDI_pivo_ADX,-0.5493
DIDI_pivo_ADX,-0.4053
DIDI_pivo_ADX,0.6218
DIDI_pivo_ADX,0.7049
DIDI_pivo_ADX,-0.0722
