ticker,entrada_data,entry,stop,alvo,saida_data,R
COST,2021-08-13,424.39,356.72,627.39,2021-11-08,0.8
COST,2021-12-23,522.41,497.19,598.08,2022-01-10,-1.0
COST,2022-08-25,525.34,507.34,579.37,2022-08-26,-1.0
COST,2022-11-22,508.31,453.41,673.0,2022-12-08,-1.0
COST,2023-04-24,489.54,457.07,586.95,2023-07-20,1.38
COST,2023-04-28,481.69,457.07,555.55,2023-07-26,2.49
COST,2023-05-12,483.51,466.11,535.71,2023-05-23,-1.0
COST,2023-06-27,508.7,495.47,548.38,2023-09-21,1.87
COST,2023-06-30,516.42,495.47,579.27,2023-09-26,0.72
COST,2023-12-07,588.22,561.14,669.44,2024-01-12,3.0
COST,2024-01-18,676.79,630.7,815.04,2024-04-15,0.68
COST,2024-02-28,737.59,699.21,852.73,2024-04-02,-1.0
COST,2024-05-30,805.33,692.27,1144.5,2024-08-26,0.69
COST,2025-05-12,1008.86,934.98,1230.48,2025-07-22,-1.0
CVX,2016-11-21,72.99,69.26,84.19,2017-02-17,0.21
CVX,2019-02-12,84.93,78.81,103.27,2019-05-09,0.43
CVX,2019-06-20,90.68,87.24,101.01,2019-08-02,-1.0
CVX,2020-12-02,70.69,65.33,86.76,2021-03-02,2.06
CVX,2020-12-04,73.37,68.35,88.43,2020-12-18,-1.0
CVX,2021-02-19,76.42,66.52,106.12,2021-05-17,1.21
CVX,2021-06-04,87.57,82.82,101.81,2021-06-17,-1.0
CVX,2021-11-15,95.6,91.63,107.51,2022-01-18,3.0
CVX,2022-04-07,139.78,134.26,156.34,2022-04-25,-1.0
CVX,2023-09-25,148.82,143.67,164.27,2023-10-04,-1.0
CVX,2023-09-27,150.87,145.59,166.72,2023-10-04,-1.0
CVX,2024-03-28,142.13,138.91,151.81,2024-06-12,-1.0
CVX,2024-05-17,148.06,141.5,167.72,2024-06-04,-1.0
CVX,2024-10-17,139.16,135.62,149.76,2024-11-18,3.0
CVX,2025-03-24,155.13,142.81,192.07,2025-04-04,-1.0
CVX,2025-08-21,149.65,142.55,170.95,2025-11-14,0.28
DE,2016-11-09,77.58,73.41,90.08,2016-11-25,3.0
DE,2017-05-09,98.9,95.6,108.8,2017-06-01,3.0
DE,2017-05-15,99.1,95.6,109.57,2017-06-01,3.0
DE,2017-06-08,109.72,96.76,148.59,2017-09-01,-0.62
DE,2017-07-27,112.4,109.04,122.45,2017-08-17,-1.0
DE,2017-10-17,113.17,111.62,117.81,2017-11-01,3.0
DE,2017-12-18,135.46,131.03,148.75,2018-01-12,3.0
DE,2019-02-04,147.95,139.57,173.06,2019-02-20,-1.0
DE,2020-12-31,250.67,232.76,304.41,2021-02-19,3.0
DE,2021-02-16,295.43,259.89,402.03,2021-05-12,1.51
DE,2022-08-10,334.0,273.32,516.05,2022-11-03,0.66
DE,2022-11-17,392.75,361.63,486.13,2023-02-15,-0.06
DE,2024-09-27,407.09,368.78,522.03,2024-12-23,0.4
DE,2025-05-12,487.94,461.99,565.8,2025-08-07,0.48
DE,2026-06-22,597.04,555.18,722.63,2026-09-11,1.88
DUK,2019-02-20,66.03,62.61,76.29,2019-05-16,-0.36
DUK,2019-02-28,66.64,64.67,72.52,2019-05-09,-1.0
DUK,2019-03-11,67.16,65.54,71.99,2019-04-04,-1.0
